PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
37041648	PMC10091655	93	19	{'342618': ('SLFN14', 21, 9606.0), '967': ('CD63', 14, 9606.0), '2811': ('GP1BA', 9, 9606.0), '100187907': ('TRAP', 6, 0.0), '2244': ('FGB', 8, 9606.0), '6403': ('SELP', 5, 9606.0), '7450': ('VWF', 2, 9606.0), '3916': ('LAMP1', 1, 9606.0), '3920': ('LAMP2', 1, 9606.0), '10376': ('TUBA1B', 1, 9606.0), '3690': ('ITGB3', 2, 9606.0), '117': ('ADCYAP1R1', 6, 9606.0), '1401': ('CRP', 2, 9606.0), '861': ('RUNX1', 5, 9606.0), '22852': ('ANKRD26', 4, 9606.0), '2120': ('ETV6', 2, 9606.0), '2149': ('F2R', 2, 9606.0), '1445': ('CSK', 1, 9606.0), '55819': ('RNF130', 1, 9606.0)}	308
37347054	PMC10280004	230	23	{'998': ('CDC42', 65, 9606.0), '920': ('CD4', 2, 9606.0), '5788': ('PTPRC', 11, 9606.0), '939': ('CD27', 11, 9606.0), '380797': ('Ighd', 5, 10090.0), '973': ('CD79A', 2, 9606.0), '19264': ('Ptprc', 19, 10090.0), '12478': ('Cd19', 17, 10090.0), '12494': ('Cd38', 3, 10090.0), '14131': ('Fcgr3', 3, 10090.0), '16184': ('Il2ra', 4, 10090.0), '17967': ('Ncam1', 3, 10090.0), '16019': ('Ighm', 5, 10090.0), '18613': ('Pecam1', 3, 10090.0), '12504': ('Cd4', 20, 10090.0), '12503': ('Cd247', 35, 10090.0), '16197': ('Il7r', 3, 10090.0), '21940': ('Cd27', 12, 10090.0), '12475': ('Cd14', 2, 10090.0), '12902': ('Cr2', 1, 10090.0), '3606': ('IL18', 2, 9606.0), '4283': ('CXCL9', 1, 9606.0), '7454': ('WAS', 1, 9606.0)}	458
37416759	PMC10320622	519	25	{'2814': ('GP5', 163, 9606.0), '2811': ('GP1BA', 80, 9606.0), '2812': ('GP1BB', 45, 9606.0), '2815': ('GP9', 111, 9606.0), '7450': ('VWF', 59, 9606.0), '3105': ('HLA-A', 4, 9606.0), '3674': ('ITGA2B', 18, 9606.0), '51206': ('GP6', 1, 9606.0), '3732': ('CD82', 2, 9606.0), '100767667': ('Gp9', 1, 0.0), '2623': ('GATA1', 2, 9606.0), '2313': ('FLI1', 2, 9606.0), '6886': ('TAL1', 3, 9606.0), '947': ('CD34', 9, 9606.0), '100770316': ('Gp1ba', 1, 0.0), '3690': ('ITGB3', 1, 9606.0), '3673': ('ITGA2', 1, 9606.0), '10876': ('EDDM3A', 1, 9606.0), '22371': ('Vwf', 1, 10090.0), '2247': ('FGF2', 1, 9606.0), '652': ('BMP4', 1, 9606.0), '7173': ('TPO', 5, 9606.0), '4254': ('KITLG', 4, 9606.0), '2323': ('FLT3LG', 1, 9606.0), '3569': ('IL6', 2, 9606.0)}	714
37601883	PMC10435689	16	4	{'2244': ('FGB', 1, 9606.0), '2811': ('GP1BA', 2, 9606.0), '3674': ('ITGA2B', 2, 9606.0), '4627': ('MYH9', 11, 9606.0)}	86
37649376	PMC10472819	9	4	{'23218': ('NBEAL2', 6, 9606.0), '213': ('ALB', 1, 9606.0), '7057': ('THBS1', 1, 9606.0), '2244': ('FGB', 1, 9606.0)}	609
37832872	PMC10656230	158	9	{'1729': ('DIAPH1', 96, 9606.0), '177': ('AGER', 26, 9606.0), '13367': ('Diaph1', 26, 10090.0), '2317': ('FLNB', 1, 9606.0), '6729': ('SRP54', 1, 9606.0), '28882': ('IGKV2D-29', 1, 9606.0), '151': ('ADRA2B', 1, 9606.0), '11596': ('Ager', 4, 10090.0), '163': ('AP2B1', 2, 9606.0)}	713
20713593	PMC2931168	647	42	{'2316': ('FLNA', 151, 9606.0), '6850': ('SYK', 43, 9606.0), '192176': ('Flna', 88, 10090.0), '22371': ('Vwf', 4, 10090.0), '14460': ('Gata1', 37, 10090.0), '14723': ('Gp1ba', 15, 10090.0), '20963': ('Syk', 15, 10090.0), '234779': ('Plcg2', 3, 10090.0), '16398': ('Itga2', 1, 10090.0), '243816': ('Gp6', 8, 10090.0), '56760': ('Clec1b', 5, 10090.0), '2317': ('FLNB', 9, 9606.0), '68794': ('Flnc', 1, 10090.0), '286940': ('Flnb', 2, 10090.0), '7450': ('VWF', 23, 9606.0), '2811': ('GP1BA', 29, 9606.0), '100750531': ('Vwf', 1, 10029.0), '2623': ('GATA1', 48, 9606.0), '1401': ('CRP', 21, 9606.0), '14061': ('F2', 18, 10090.0), '12944': ('Crp', 5, 10090.0), '3673': ('ITGA2', 5, 9606.0), '51206': ('GP6', 25, 9606.0), '23890': ('Gpr34', 7, 10090.0), '14724': ('Gp1bb', 3, 10090.0), '16416': ('Itgb3', 8, 10090.0), '16399': ('Itga2b', 1, 10090.0), '20344': ('Selp', 15, 10090.0), '51266': ('CLEC1B', 17, 9606.0), '5336': ('PLCG2', 10, 9606.0), '3034': ('HAL', 6, 9606.0), '18700': ('Piga', 2, 10090.0), '56744': ('Pf4', 2, 10090.0), '2212': ('FCGR2A', 3, 9606.0), '2207': ('FCER1G', 2, 9606.0), '2534': ('FYN', 3, 9606.0), '4067': ('LYN', 3, 9606.0), '27040': ('LAT', 2, 9606.0), '3937': ('LCP2', 2, 9606.0), '14065': ('F2rl3', 1, 10090.0), '14062': ('F2r', 1, 10090.0), '109957': ('P9Ehs1', 2, 10090.0)}	742
22539947	PMC3335122	109	15	{'2244': ('FGB', 32, 9606.0), '5788': ('PTPRC', 3, 9606.0), '3690': ('ITGB3', 3, 9606.0), '28908': ('IGKV4-1', 9, 9606.0), '686': ('BTD', 4, 9606.0), '7450': ('VWF', 14, 9606.0), '117': ('ADCYAP1R1', 7, 9606.0), '5747': ('PTK2', 14, 9606.0), '6714': ('SRC', 8, 9606.0), '16416': ('Itgb3', 1, 10090.0), '7448': ('VTN', 2, 9606.0), '151': ('ADRA2B', 2, 9606.0), '56431': ('Dstn', 2, 10090.0), '3674': ('ITGA2B', 6, 9606.0), '3685': ('ITGAV', 2, 9606.0)}	676
22558294	PMC3338476	124	11	{'4627': ('MYH9', 56, 9606.0), '26503': ('SLC17A5', 28, 9606.0), '2678': ('GGT1', 17, 9606.0), '84176': ('MYH16', 1, 9606.0), '17886': ('Myh9', 1, 10090.0), '1356': ('CP', 1, 9606.0), '5265': ('SERPINA1', 1, 9606.0), '22852': ('ANKRD26', 2, 9606.0), '3690': ('ITGB3', 1, 9606.0), '590': ('BCHE', 1, 9606.0), '79784': ('MYH14', 15, 9606.0)}	108
22477015	PMC3343441	50	1	{'4627': ('MYH9', 50, 9606.0)}	232
23284264	PMC3520641	12	4	{'2147': ('F2', 3, 9606.0), '2244': ('FGB', 2, 9606.0), '2811': ('GP1BA', 5, 9606.0), '4627': ('MYH9', 2, 9606.0)}	626
23123319	PMC3546164	64	12	{'4627': ('MYH9', 45, 9606.0), '4628': ('MYH10', 2, 9606.0), '79784': ('MYH14', 8, 9606.0), '4619': ('MYH1', 1, 9606.0), '4622': ('MYH4', 1, 9606.0), '4620': ('MYH2', 1, 9606.0), '4626': ('MYH8', 1, 9606.0), '4621': ('MYH3', 1, 9606.0), '8735': ('MYH13', 1, 9606.0), '4625': ('MYH7', 1, 9606.0), '4624': ('MYH6', 1, 9606.0), '4629': ('MYH11', 1, 9606.0)}	89
24069336	PMC3775762	59	10	{'87': ('ACTN1', 40, 9606.0), '4627': ('MYH9', 7, 9606.0), '2316': ('FLNA', 3, 9606.0), '81027': ('TUBB1', 2, 9606.0), '84930': ('MASTL', 2, 9606.0), '51635': ('DHRS7', 1, 9606.0), '3091': ('HIF1A', 1, 9606.0), '9766': ('SUSD6', 1, 9606.0), '5494': ('PPM1A', 1, 9606.0), '81': ('ACTN4', 1, 9606.0)}	484
25027852	PMC4109023	253	24	{'56760': ('Clec1b', 5, 10090.0), '2811': ('GP1BA', 17, 9606.0), '7450': ('VWF', 78, 9606.0), '22371': ('Vwf', 3, 10090.0), '243816': ('Gp6', 11, 10090.0), '20344': ('Selp', 1, 10090.0), '14061': ('F2', 8, 10090.0), '2244': ('FGB', 28, 9606.0), '14268': ('Fn1', 9, 10090.0), '22370': ('Vtn', 1, 10090.0), '20750': ('Spp1', 1, 10090.0), '21825': ('Thbs1', 8, 10090.0), '16398': ('Itga2', 1, 10090.0), '6696': ('SPP1', 5, 9606.0), '7448': ('VTN', 9, 9606.0), '6403': ('SELP', 16, 9606.0), '51206': ('GP6', 20, 9606.0), '51266': ('CLEC1B', 19, 9606.0), '2152': ('F3', 4, 9606.0), '10630': ('PDPN', 3, 9606.0), '83716': ('CRISPLD2', 1, 9606.0), '84876': ('ORAI1', 3, 9606.0), '4627': ('MYH9', 1, 9606.0), '84343': ('HPS3', 1, 9606.0)}	611
26312134	PMC4550062	323	28	{'179709': ('atn-1', 83, 0.0), '176793': ('act-5', 49, 6239.0), '1756': ('DMD', 3, 9606.0), '7402': ('UTRN', 1, 9606.0), '31166': ('Actn', 11, 7227.0), '87': ('ACTN1', 26, 9606.0), '88': ('ACTN2', 10, 9606.0), '81': ('ACTN4', 34, 9606.0), '89': ('ACTN3', 26, 9606.0), '801': ('CALM1', 16, 9606.0), '9735': ('KNTC1', 16, 9606.0), '7273': ('TTN', 5, 9606.0), '79784': ('MYH14', 6, 9606.0), '5357': ('PLS1', 3, 9606.0), '2318': ('FLNC', 1, 9606.0), '171736': ('tln-1', 1, 0.0), '177482': ('deb-1', 1, 0.0), '109711': ('Actn1', 6, 10090.0), '51430': ('SUCO', 9, 9606.0), '8048': ('CSRP3', 3, 9606.0), '27295': ('PDLIM3', 2, 9606.0), '11155': ('LDB3', 2, 9606.0), '101927655': ('ZASP', 1, 0.0), '1431': ('CS', 1, 9606.0), '3098': ('HK1', 1, 9606.0), '11474': ('Actn3', 1, 10090.0), '58529': ('MYOZ1', 4, 9606.0), '80733': ('Car15', 1, 0.0)}	544
26987485	PMC4796794	119	28	{'23218': ('NBEAL2', 41, 9606.0), '7450': ('VWF', 6, 9606.0), '2153': ('F5', 1, 9606.0), '3553': ('IL1B', 1, 9606.0), '3576': ('CXCL8', 1, 9606.0), '5196': ('PF4', 1, 9606.0), '7422': ('VEGFA', 1, 9606.0), '2247': ('FGF2', 1, 9606.0), '1130': ('LYST', 1, 9606.0), '235627': ('Nbeal2', 4, 10090.0), '3690': ('ITGB3', 13, 9606.0), '2811': ('GP1BA', 5, 9606.0), '6403': ('SELP', 12, 9606.0), '213': ('ALB', 1, 9606.0), '2335': ('FN1', 7, 9606.0), '8328': ('GFI1B', 2, 9606.0), '20345': ('Selplg', 1, 10090.0), '14268': ('Fn1', 1, 10090.0), '20344': ('Selp', 1, 10090.0), '10376': ('TUBA1B', 6, 9606.0), '22371': ('Vwf', 1, 10090.0), '16416': ('Itgb3', 1, 10090.0), '5788': ('PTPRC', 1, 9606.0), '947': ('CD34', 1, 9606.0), '7066': ('THPO', 3, 9606.0), '3589': ('IL11', 1, 9606.0), '145624': ('PWAR1', 2, 9606.0), '347745': ('PWAR4', 2, 9606.0)}	654
27020697	PMC4820538	252	26	{'54822': ('TRPM7', 52, 9606.0), '58800': ('Trpm7', 34, 10090.0), '16952': ('Anxa1', 2, 10090.0), '330953': ('Hcn4', 2, 10090.0), '22376': ('Was', 90, 10090.0), '67075': ('Magt1', 6, 10090.0), '21832': ('Thpo', 12, 10090.0), '10376': ('TUBA1B', 15, 9606.0), '4627': ('MYH9', 1, 9606.0), '17886': ('Myh9', 5, 10090.0), '11461': ('Actb', 2, 10090.0), '56744': ('Pf4', 4, 10090.0), '12944': ('Crp', 5, 10090.0), '14061': ('F2', 3, 10090.0), '13805': ('Eng', 3, 10090.0), '19264': ('Ptprc', 2, 10090.0), '104231': ('Ly76', 2, 10090.0), '12503': ('Cd247', 1, 10090.0), '16409': ('Itgam', 1, 10090.0), '16059': ('Igh-V7183', 2, 10090.0), '16399': ('Itga2b', 1, 10090.0), '19752': ('Rnase1', 1, 10090.0), '14723': ('Gp1ba', 1, 10090.0), '14433': ('Gapdh', 2, 10090.0), '100187907': ('TRAP', 2, 0.0), '19746': ('Rhd', 1, 10090.0)}	604
25056453	PMC4895566	0	0	{}	644
